_id,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
6843fa1e7fe66773fab3281d,"Eggs","Meat",173,42.4,83.7,1.5,1.5,12.7,752,125,"Lunch",478
6843fa1e7fe66773fab3281e,"Apple","Fruits",66,39.2,13.8,3.2,2.6,12.2,680,97,"Lunch",466
6843fa1e7fe66773fab3281f,"Chicken Breast","Meat",226,27.1,79.1,25.8,3.2,44.7,295,157,"Breakfast",635
6843fa1e7fe66773fab32820,"Banana","Fruits",116,43.4,47.1,16.1,6.5,44.1,307,13,"Snack",379
6843fa1e7fe66773fab32821,"Banana","Fruits",500,33.9,75.8,47,7.8,19.4,358,148,"Lunch",471
6843fa1e7fe66773fab32822,"Oats","Grains",387,31.2,6.8,39.5,5.1,0.7,300,244,"Dinner",727
6843fa1e7fe66773fab32823,"Carrot","Vegetables",138,28.2,12.4,20.2,2.8,37.8,933,15,"Dinner",733
6843fa1e7fe66773fab32824,"Cookies","Snacks",69,36.8,17.8,15,9.6,36.4,185,228,"Snack",386
6843fa1e7fe66773fab32825,"Apple","Fruits",568,6.7,7,23.4,6.4,46.9,336,129,"Breakfast",931
6843fa1e7fe66773fab32826,"Quinoa","Grains",204,19.3,62.7,31.8,6.8,40.3,887,135,"Snack",662
6843fa1e7fe66773fab32827,"Oats","Grains",108,40.6,13.9,12.2,9.3,44.7,530,194,"Lunch",624
6843fa1e7fe66773fab32828,"Tomato","Vegetables",117,34.4,21,10.1,9.1,18.5,66,180,"Dinner",799
6843fa1e7fe66773fab32829,"Orange Juice","Beverages",147,20.1,32.7,8.9,7,42.4,500,250,"Snack",661
6843fa1e7fe66773fab3282a,"Cookies","Snacks",468,23.7,89.2,3.1,6.3,31.3,342,225,"Lunch",607
6843fa1e7fe66773fab3282b,"Beef Steak","Meat",157,27.5,32.4,9.4,0.5,24.6,180,68,"Lunch",724
6843fa1e7fe66773fab3282c,"Pork Chop","Meat",385,15.8,36.5,33.1,2.1,27.6,134,88,"Lunch",421
6843fa1e7fe66773fab3282d,"Oats","Grains",297,36.3,76.4,24.9,2.9,37.6,269,66,"Lunch",338
6843fa1e7fe66773fab3282e,"Grapes","Fruits",274,42.4,54.5,45.2,8.2,20.3,507,76,"Breakfast",463
6843fa1e7fe66773fab3282f,"Milkshake","Beverages",353,24,96.2,6.8,0.9,17.5,305,17,"Lunch",618
6843fa1e7fe66773fab32830,"Eggs","Meat",569,4.3,23.2,31.9,9.5,28.2,373,17,"Breakfast",416
